Agency,Parent CN ID,CN ID,Publish Date,Amendment Date,Status,StartDate,EndDate,Value,Description,Agency Ref. ID,Category,Procurement Method,ATM ID,SON ID,Confidentiality - Contract,Confidentiality - Contract Reason(s),Confidentiality - Outputs,Confidentiality - Outputs Reason(s),Consultancy,Consultancy Reason(s),Amendment Reason,Supplier Name,Supplier Address,Supplier City,Supplier Postcode,Supplier Country,Supplier ABNExempt,Supplier ABN,Agency Branch,Agency Divison,Agency Postcode
Defence Materiel Organisation,,CN1114402,2013-01-02, ,published,2012-12-14,2015-03-30,20438.65,Procurement of Interim Support Services,1900578259,Maintenance or support fees,Limited tender,,,No,,No,,No,,,HARRIS CORPORATION DBA HARRIS RF CO,1680 UNIVERSITY AVE,ROCHESTER,14610-1839,UNITED STATES,Yes,,ESD - COMMS Branch,Australian Capital Territory,2600
Defence Materiel Organisation,,CN1114412,2013-01-02, ,published,2012-12-17,2015-12-30,11256.32,Raytheon MCF USD GST payment,1900578236,Software,Limited tender,,,No,,No,,No,,,RAYTHEON AUSTRALIA PTY LTD,BLDG 575,EDINBURGH,5111,AUSTRALIA,No,35063709295,ASD-AMS,Australian Capital Territory,5111
Defence Materiel Organisation,,CN1114422,2013-01-02, ,published,2012-12-19,2012-12-19,16908.32,Aviation Fuel,1900578235,Fuels,Limited tender,,,No,,No,,No,,,AIRNORTH REGIONAL,PO Box 39548,WINNELLIE,821,AUSTRALIA,No,24008137559,DMO,Australian Capital Territory,2000
Defence Materiel Organisation,,CN1114442,2013-01-02, ,published,2012-12-20,2013-01-31,17313.93,"Repairs communication equipment, consumed parts November. Refer contract C439154",4500879389,Communications Devices and Accessories,Limited tender,,,No,,No,,No,,,THALES AUSTRALIA LIMITED,"LEVEL1, BLDG 314","GARDEN ISLAND, POTTS POIN",2011,AUSTRALIA,No,66008642751,ESD - COMMS Branch,Australian Capital Territory,3006
Defence Materiel Organisation,,CN1114452,2013-01-02, ,published,2012-12-20,2013-01-31,16152.28,"Repairs communication equipment, consumed parts October. Refer contract C439154",4500879387,Communications Devices and Accessories,Limited tender,,,No,,No,,No,,,THALES AUSTRALIA LIMITED,"LEVEL1, BLDG 314","GARDEN ISLAND, POTTS POIN",2011,AUSTRALIA,No,66008642751,ESD - COMMS Branch,Australian Capital Territory,3006
Defence Materiel Organisation,,CN1114462,2013-01-02, ,published,2012-12-20,2013-01-31,16248.63,"Repairs military radios, consumed parts November at Heavy Repair Facility. Refer contract C439154",4500879384,Communications Devices and Accessories,Limited tender,,,No,,No,,No,,,THALES AUSTRALIA LIMITED,"LEVEL1, BLDG 314","GARDEN ISLAND, POTTS POIN",2011,AUSTRALIA,No,66008642751,ESD - COMMS Branch,Australian Capital Territory,3006
Defence Materiel Organisation,,CN1114472,2013-01-02, ,published,2012-12-20,2013-01-31,56595.00,Radio Test Kit,4500879382,Measuring and observing and testing instruments,Limited tender,,,No,,No,,No,,,HUBER AND SUHNER (AUST) PTY LTD,PO Box 6201,FRENCHS FOREST,2086,AUSTRALIA,No,82001166927,ESD - CSS Branch,Australian Capital Territory,2600
Defence Materiel Organisation,,CN1114492,2013-01-02, ,published,2012-12-20,2013-08-30,41569.50,Explosive Ordnance,4500879368,Light weapons and ammunition,Limited tender,,,No,,No,,No,,,COMBAT SIMULATION SYSTEMS (AUST),PO Box 79,HELIDON,4344,AUSTRALIA,No,59003699796,EOD - Munitions Branch,Australian Capital Territory,2750
Defence Materiel Organisation,,CN1114502,2013-01-02, ,published,2012-12-20,2013-03-28,33185.68,"PHASE 1 ACTIVITIES, RISK LOG, SCHEDULE",4500879366,Professional engineering services,Limited tender,,,No,,No,,No,,,BAE SYSTEMS AUSTRALIA PTY LTD,PO Box 6783,CAIRNS,4870,AUSTRALIA,No,29008423005,ESD - S&C Branch,Australian Capital Territory,2600
Defence Materiel Organisation,,CN1114522,2013-01-02, ,published,2012-12-20,2013-05-30,963251.12,Developmental and professional teaching aids and materials and accessories and supplies,4500879353,Education and Training Services,Limited tender,,,No,,No,,No,,,AMC SEARCH LIMITED,PO Box LB 1400,LAUNCESTON,7250,AUSTRALIA,No,29009548618,DMO,Australian Capital Territory,2610
Defence Materiel Organisation,,CN1114532,2013-01-02, ,published,2012-12-20,2013-01-31,16596.50,"Repairs military radios, consumed parts October at Heavy Repair Facility. Refer contract C439154",4500879347,Communications Devices and Accessories,Limited tender,,,No,,No,,No,,,THALES AUSTRALIA LIMITED,"LEVEL1, BLDG 314","GARDEN ISLAND, POTTS POIN",2011,AUSTRALIA,No,66008642751,ESD - COMMS Branch,Australian Capital Territory,3006
Defence Materiel Organisation,,CN1114552,2013-01-02, ,published,2012-12-20,2013-01-31,18075.23,"Repairs military radios, consumed parts Sept at Heavy Repair Facility. Refer contract C439154",4500879337,Communications Devices and Accessories,Limited tender,,,No,,No,,No,,,THALES AUSTRALIA LIMITED,"LEVEL1, BLDG 314","GARDEN ISLAND, POTTS POIN",2011,AUSTRALIA,No,66008642751,ESD - COMMS Branch,Australian Capital Territory,3006
Defence Materiel Organisation,,CN1114562,2013-01-02, ,published,2012-12-20,2013-01-31,27493.62,Software Licences,4500879336,Software,Limited tender,,,No,,No,,No,,,RED HAT ASIA-PACIFIC PTY LTD,100 MILLER ST,NORTH SYDNEY,2060,AUSTRALIA,No,35090438485,ESD other,Australian Capital Territory,3027
Defence Materiel Organisation,,CN1114582,2013-01-02, ,published,2012-12-20,2013-01-31,35130.07,"CHESS, November 2012 ROE, Consumed Parts. Refer",4500879332,Communications Devices and Accessories,Limited tender,,,No,,No,,No,,,THALES AUSTRALIA LIMITED,"LEVEL1, BLDG 314","GARDEN ISLAND, POTTS POIN",2011,AUSTRALIA,No,66008642751,ESD - COMMS Branch,Australian Capital Territory,3006
Defence Materiel Organisation,,CN1114612,2013-01-02, ,published,2012-12-20,2013-01-31,28266.70,"CHESS, October 2012 ROE, Consumed Parts. Refer contract C439154 at Heavy Repair Facility.",4500879327,Communications Devices and Accessories,Limited tender,,,No,,No,,No,,,THALES AUSTRALIA LIMITED,"LEVEL1, BLDG 314","GARDEN ISLAND, POTTS POIN",2011,AUSTRALIA,No,66008642751,ESD - COMMS Branch,Australian Capital Territory,3006
Defence Materiel Organisation,,CN1114622,2013-01-02, ,published,2012-12-20,2013-01-31,95129.77,Upgrade of equipment prior to installation on RAN ship during scheduled maintenance,4500879324,Military watercraft,Limited tender,,,No,,No,,No,,,THALES AUSTRALIA,PO Box LB3000,POTTS POINT,2011,AUSTRALIA,No,66008642751,DMO Maritime Systems Division,Australian Capital Territory,2011
Defence Materiel Organisation,,CN1114662,2013-01-02, ,published,2012-12-19,2015-06-30,16063121.59,FMS Case for Acquisition of Targets,ATPGTB,Missiles,Limited tender,,,No,,No,,No,,,FMS ACCOUNT,ABA NO: 021083129,NEW YORK,10000,UNITED STATES,Yes,,DMO,Australian Capital Territory,2609
Defence Materiel Organisation,,CN1114672,2013-01-02, ,published,2012-12-18,2018-06-30,20650725.46,Acquisistion of Course Correcting Fuze,ATBUGV,Explosive materials,Limited tender,,,No,,No,,No,,,FMS ACCOUNT,ABA NO: 021083129,NEW YORK,10000,UNITED STATES,Yes,,DMO,Australian Capital Territory,3006
Defence Materiel Organisation,,CN1114682,2013-01-02, ,published,2012-12-21,2013-06-28,122317.35,Weapons and accessories,4500879516,Arms and ammunition accessories,Limited tender,,,No,,No,,No,,,FN HERSTAL SA,"VOIE DE LIEGE, 33",HERSTAL,4040,BELGIUM,Yes,,LSD - Armaments SPO,Australian Capital Territory,2600
Defence Materiel Organisation,,CN1114702,2013-01-02, ,published,2012-12-21,2013-06-30,22960.38,Red KG 40 Cables,4500879471,Computer Equipment and Accessories,Limited tender,,,No,,No,,No,,,MITSO CONSULTING PTY LTD,22 CARA CRESCENT,BERWICK,3806,AUSTRALIA,No,96085050175,ESD - S&TI Branch,Australian Capital Territory,2609
Defence Materiel Organisation,,CN1114732,2013-01-02, ,published,2012-12-21,2013-05-31,129884.43,TacLink Cables,4500879444,Electronic hardware and component parts and accessories,Limited tender,,,No,,No,,No,,,RAYTHEON COMPANY DBA RAYTHEON,1010 PRODUCTION RD,FORT WAYNE,46808-4106,UNITED STATES,Yes,,Army Forces Command,Australian Capital Territory,3200
Defence Materiel Organisation,,CN1114742,2013-01-02, ,published,2012-12-21,2013-06-28,114960.21,Arms and ammunition accessories,4500879443,Arms and ammunition accessories,Limited tender,,,No,,No,,No,,,FN HERSTAL SA,"VOIE DE LIEGE, 33",HERSTAL,4040,BELGIUM,Yes,,LSD - Armaments SPO,Australian Capital Territory,2600
Defence Materiel Organisation,,CN1114752,2013-01-02, ,published,2012-12-20,2013-09-30,634563.82,Alenia Radar Spares,4500879442,Aircraft equipment,Limited tender,,,No,,No,,No,,,SELEX SISTEMI INTEGRATI SPA,"VIA TIBURTINA KM. 12,400",ROMA,131,ITALY,Yes,,ESD - S&C Branch,Australian Capital Territory,2600
Defence Materiel Organisation,,CN1114762,2013-01-02, ,published,2012-12-20,2013-09-30,167042.11,Alenia Radar Spares,4500879441,Aircraft equipment,Limited tender,,,No,,No,,No,,,SELEX SISTEMI INTEGRATI SPA,"VIA TIBURTINA KM. 12,400",ROMA,131,ITALY,Yes,,ESD - S&C Branch,Australian Capital Territory,2600
Defence Materiel Organisation,,CN1114772,2013-01-02, ,published,2012-12-20,2013-06-30,60984.00,Provision of Software technical support services.,4500879437,Software maintenance and support,Limited tender,,,No,,No,,No,,,HP ENTERPRISE SERVICES AUSTRALIA,PO Box 7 BARRY DR,TURNER,2612,AUSTRALIA,No,18002855085,ASD-AMS,Australian Capital Territory,5111
Defence Materiel Organisation,,CN1114782,2013-01-02, ,published,2012-12-20,2013-01-10,11125.00,Aviation Fuel,4500879430,Fuels,Limited tender,,,No,,No,,No,,,BURNT PINE TRAVEL PTY LTD,PO Box 475,NORFOLK ISLAND,2899,AUSTRALIA,Yes,,DMO Maritime Systems Division,Australian Capital Territory,2000
Defence Materiel Organisation,,CN1114792,2013-01-02, ,published,2012-12-20,2013-02-15,20023.11,Overseas repair of equipment item for RAN ship,4500879429,Military watercraft,Limited tender,,,No,,No,,No,,,THALES AUSTRALIA,PO Box LB3000,POTTS POINT,2011,AUSTRALIA,No,66008642751,DMO Maritime Systems Division,Australian Capital Territory,2011
Defence Materiel Organisation,,CN1114802,2013-01-02, ,published,2012-12-20,2013-06-30,63997.30,Overseas repair of equipment item for RAN ship,4500879426,Military watercraft,Limited tender,,,No,,No,,No,,,THALES AUSTRALIA,PO Box LB3000,POTTS POINT,2011,AUSTRALIA,No,66008642751,DMO Maritime Systems Division,Australian Capital Territory,2011
Defence Materiel Organisation,,CN1114812,2013-01-02, ,published,2012-12-20,2013-02-20,25278.00,Purchase of Equipment for AOSG,4500879425,Communications Devices and Accessories,Limited tender,,,No,,No,,No,,,ROHDE AND SCHWARZ (AUST) PTY LTD,PO Box 1004,NORTH RYDE,1670,AUSTRALIA,No,78002328449,ASD-AMS,Australian Capital Territory,5111
Defence Materiel Organisation,,CN1114832,2013-01-02, ,published,2012-12-20,2013-01-31,26299.75,Investigate and Rectify Fault on Main Engine,4500879420,Marine craft systems and subassemblies,Limited tender,,,No,,No,,No,,,BAE SYSTEMS AUSTRALIA LTD,TARANAKI RD,EDINBURGH,5111,AUSTRALIA,No,29008423005,DMO Maritime Systems Division,Australian Capital Territory,4870
Defence Materiel Organisation,,CN1114842,2013-01-02, ,published,2012-12-20,2013-06-30,112977.79,HAZCHEM Engineering Management Services,4500879417,Military fixed wing aircraft,Limited tender,,,No,,No,,No,,,AUSTRALIAN AEROSPACE LTD,PO Box 49,RAAF EDINBURGH,5111,AUSTRALIA,No,68003035470,DMO,Australian Capital Territory,5111
Defence Materiel Organisation,,CN1114872,2013-01-02, ,published,2012-12-20,2013-01-31,776489.93,Procurement of Transport Services,4500879391,Vehicle transport services,Limited tender,,,No,,No,,No,,,A & P GROUP LTD,"WAGONWAY ROAD, HEBBURN",TYNE & WEAR,NE31 1SP,UNITED KINGDOM,Yes,,General Manager Programs,Australian Capital Territory,2601
Defence Materiel Organisation,,CN1114882,2013-01-02, ,published,2012-12-20,2013-06-30,125603.32,Fighter Course Instructor Developement,4500879274,Military fixed wing aircraft,Limited tender,,,No,,No,,No,,,RAYTHEON AUST PTY LTD,LVL 1 / 4 BRINDABELLA CIRT,CANBERRA AIRPORT,2609,AUSTRALIA,No,35063709295,ASD-ACS,Australian Capital Territory,2314
Defence Materiel Organisation,,CN1114892,2013-01-02, ,published,2012-12-19,2013-06-30,47657.50,Installation of interim web content management system,4500879183,Information technology consultation services,Limited tender,,,No,,No,,No,,,READINGROOM AUSTRALIA LTD,45 TORRENS STREET,BRADDON,2612,AUSTRALIA,No,43096505805,DMO,Australian Capital Territory,2600
Defence Materiel Organisation,,CN1114902,2013-01-02, ,published,2012-12-19,2013-01-20,65364.20,Communications Equipment,4500879164,Communications Devices and Accessories,Limited tender,,,No,,No,,No,,,ROJONE PTY LIMITED,PO Box 1,CASULA MAIL CENTRE,2170,AUSTRALIA,No,69002691241,ESD - EW Branch,Australian Capital Territory,2600
Defence Materiel Organisation,,CN1114912,2013-01-02, ,published,2012-12-19,2013-02-15,25869.12,Provision of warehouse services,4500879162,Warehouse stores,Limited tender,,,No,,No,,No,,,BAE SYSTEMS AUSTRALIA LOGISTICS,PO Box LB 950,SUNSHINE,3020,AUSTRALIA,No,20086228864,Navy Aviation SPO,Australian Capital Territory,2540
Department of Defence,,CN1114922,2013-01-02, ,published,2012-12-18,2013-04-02,23947.00,Watercraft lift,4500879013,Marine transport,Limited tender,,,No,,No,,No,,,NORTHPORT MARINE SERVICES,PO Box 262,NORTH FREMANTLE,6159,AUSTRALIA,No,63931880808,VCDF Joint Logistics Command,Australian Capital Territory,6055
Defence Materiel Organisation,,CN1114932,2013-01-02, ,published,2012-12-19,2013-01-30,16185.40,Computer Equipment and accessories,4500879159,Computer Equipment and Accessories,Limited tender,,,No,,No,,No,,,DEFENCE COMMUNICATIONS INDUSTRY,37 PRENTICE ST,ELSTERNWICK,3185,AUSTRALIA,No,31101744361,ESD - CSS Branch,Australian Capital Territory,2600
Department of Defence,,CN1114942,2013-01-02, ,published,2012-12-18,2013-01-21,14659.93,Plumbing Supplies,4500879012,Plumbing fixtures,Limited tender,,,No,,No,,No,,,PLUMBERS' SUPPLIES,1/2TELFORD PLACE,LABRADOR,4215,AUSTRALIA,No,55053236436,Army Forces Command,Australian Capital Territory,4306
Defence Materiel Organisation,,CN1114952,2013-01-02, ,published,2012-12-19,2013-02-28,21354.30,Misc Tooling requirements,4500879149,Tools and General Machinery,Limited tender,,,No,,No,,No,,,WARREN AND BROWN TECHNOLOGIES PTY L,PO Box 235,FOOTSCRAY,3011,AUSTRALIA,No,15967688916,ESD - CSS Branch,Australian Capital Territory,2600
Defence Materiel Organisation,,CN1114972,2013-01-02, ,published,2012-12-19,2013-02-28,330000.00,repair,4500879141,Military rotary wing aircraft,Limited tender,,,No,,No,,No,,,BAE SYSTEMS AUSTRALIA LTD (AIMS),PO Box 7725,GARBUTT,4814,AUSTRALIA,No,29008423005,Army Aviation SPO,Australian Capital Territory,4401
Department of Defence,,CN1114982,2013-01-02, ,published,2012-12-18,2013-03-13,76078.99,Cables,4500879002,Electronic hardware and component parts and accessories,Limited tender,,,No,,No,,No,,,ROJONE PTY LIMITED,PO Box 1,CASULA MAIL CENTRE,2170,AUSTRALIA,No,69002691241,DSTO Information & Weapon Systems,Australian Capital Territory,5111
Defence Materiel Organisation,,CN1114992,2013-01-02, ,published,2012-12-19,2013-01-30,19828.76,Procurement of Telephone System Repairs,4500879140,Communications Devices and Accessories,Limited tender,,,No,,No,,No,,,A & P GROUP LTD,"WAGONWAY ROAD, HEBBURN",TYNE & WEAR,NE31 1SP,UNITED KINGDOM,Yes,,General Manager Programs,Australian Capital Territory,2600
Department of Defence,,CN1115002,2013-01-02, ,published,2012-12-18,2013-01-25,33686.40,Computer Components,4500879001,Computer Equipment and Accessories,Limited tender,,,No,,No,,No,,,IBM AUSTRALIA LTD,PO Box 400,PENNANT HILLS,1715,AUSTRALIA,No,79000024733,DSTO Information & Weapon Systems,Australian Capital Territory,5111
Department of Defence,,CN1115022,2013-01-02, ,published,2012-12-18,2013-05-31,125412.75,Developement of Sensor Processing Models,4500878994,Military science and research,Limited tender,,,No,,No,,No,,,BLUE SWIMMER CONSULTING PTY LTD,1/38 CHATSWOOD GROVE,GOLDEN GROVE,5125,AUSTRALIA,No,92098609217,DSTO Information & Weapon Systems,Australian Capital Territory,5111
Department of Defence,,CN1115042,2013-01-02, ,published,2012-12-18,2013-03-29,16665.00,Heat sinks,4500878987,Laboratory supplies and fixtures,Limited tender,,,No,,No,,No,,,NAECO PTY LTD,PO Box 1452,CAPALABA,4157,AUSTRALIA,No,20112870989,DSTO Information & Weapon Systems,Australian Capital Territory,5111
Defence Materiel Organisation,,CN1115052,2013-01-02, ,published,2012-12-19,2013-01-07,34034.00,Repair to diesel generator on RAN ship,4500879127,Military watercraft,Limited tender,,,No,,No,,No,,,ENERGY POWER SYSTEMS AUSTRALIA PTY,PO Box 24,WELSHPOOL,6986,AUSTRALIA,No,80055274514,DMO Maritime Systems Division,Australian Capital Territory,2011
Department of Defence,,CN1115062,2013-01-02, ,published,2012-12-18,2013-01-28,55433.40,Local oscillators for microwave transceiver,4500878980,Electronic hardware and component parts and accessories,Limited tender,,,No,,No,,No,,,SCIENTIFIC DEVICES AUSTRALIA P/L,PO Box 163,OAKLEIGH,3166,AUSTRALIA,No,32004846128,DSTO Information & Weapon Systems,Australian Capital Territory,5111
Defence Materiel Organisation,,CN1115072,2013-01-02, ,published,2012-12-19,2013-03-30,173038.70,JPEU Trial Support for Excalibur,4500879111,Professional engineering services,Limited tender,,,No,,No,,No,,,DEFENCE - 'INTER-AGENCY TRANSFERS',R1-2-A100 RUSSELL OFFICES,CAMPBELL,2600,AUSTRALIA,No,68706814312,EOD - Munitions Branch,Australian Capital Territory,2570
Defence Materiel Organisation,,CN1115092,2013-01-02, ,published,2012-12-19,2013-01-31,165693.00,Supply of DG Regulations Manual 54th Edition,4500879100,Printed publications,Limited tender,,,No,,No,,No,,,AUSTRALIAN FEDERATION INTERNATIONAL,152 BUNNERONG ROAD,EASTGARDENS,2036,AUSTRALIA,No,43008576681,ASD-AMM,Australian Capital Territory,3027
Defence Materiel Organisation,,CN1115112,2013-01-02, ,published,2012-12-19,2013-01-30,85827.44,Professional procurement team services,4500879096,Professional procurement services,Limited tender,,,No,,No,,No,,,A & P GROUP LTD,"WAGONWAY ROAD, HEBBURN",TYNE & WEAR,NE31 1SP,UNITED KINGDOM,Yes,,General Manager Programs,Australian Capital Territory,2600
Department of Defence,,CN1115122,2013-01-02, ,published,2012-12-18,2013-01-25,35805.00,Server Hardware,4500878959,Computer servers,Limited tender,CIOG/380/12,,Yes,Statutory secrecy provisions,Yes,Statutory secrecy provisions,No,,,HEWLETT PACKARD AUSTRALIA LTD,PO Box 384,CONCORD WEST,2138,AUSTRALIA,No,74004394763,Intelligence & Security,Australian Capital Territory,2601
Defence Materiel Organisation,,CN1115132,2013-01-02, ,published,2012-12-19,2013-12-31,49500.00,Software Licence Renewal,4500879091,Software maintenance and support,Limited tender,,,No,,No,,No,,,EMBEDDED LOGIC SOLUTIONS PTY LTD,PO Box 1078,PARRAMATTA,2124,AUSTRALIA,No,44109776098,ESD - CSS Branch,Australian Capital Territory,2600
Department of Defence,,CN1115142,2013-01-02, ,published,2012-12-18,2013-01-30,99000.00,Provision of medical equipment,4500878958,Orthopaedic and prosthetic and sports medicine products,Limited tender,,,No,,No,,No,,,SONOSITE AUSTRALASIA PTY LTD,SUITE 9 / 13A NARABANG WAY,BELROSE,2085,AUSTRALIA,No,36107365800,VCDF Joint Health Command,Australian Capital Territory,2600
Department of Defence,,CN1115162,2013-01-02, ,published,2012-12-18,2013-03-01,27429.60,Microwave Test Components,4500878955,Electronic hardware and component parts and accessories,Limited tender,,,No,,No,,No,,,MILLITECH AUSTRALIA PTY LTD,PO Box 327,MATRAVILLE,2036,AUSTRALIA,No,31097723192,DSTO Information & Weapon Systems,Australian Capital Territory,5111
Department of Defence,,CN1115182,2013-01-02, ,published,2012-12-18,2014-02-28,39600.00,Support and update services,4500878954,Maintenance or support fees,Limited tender,,,No,,No,,No,,,DIALOG INFORMATION TECHNOLOGY,PO Box 3713,"SOUTH BRISBANE, BC",4101,AUSTRALIA,No,16010089175,PSPG HPP/DBAM,Australian Capital Territory,2600
