Description,ECCN1,ECCN2,ECCN3,ECCN4,ECCN5
"Tubes, vacuum sprytron",3A228a,,,,
Tunable band-pass filters,3A001b5,,,,
Tunable lasers,6A005c,,,,
"Tunable lasers, solid state",6A005c1,6A005c2,6A005c3,,
Tungsten alloys,1C004,,,,
"Tungsten alloy, parts",1C226,,,,
"Tungsten carbide, parts",1C226,,,,
Tungsten & molybdenum metal & alloys,1C117,,,,
"Tungsten, parts",1C226,,,,
Turbines for use in nuclear reactors,2A290a,,,,
"Turbines, aero gas engines, test software",9D004b,9D619,,,
"Turbines, gas aero engines",9A001,9A619a,,,
Turbo prop engines,9A619a,,,,
Turbocompound engines,9A101,,,,
Turboexpanders and turboexpander-compressors,1B232,,,,
"Turbofan & turbojet engines, lightweight",9A101,9A619,,,
Turboprop engine systems specially designed for items controlled by 9A012,9A102a,,,,
Turning machines for optical quality surfaces,2B992a,,,,
Turning machines (CNC),2B991d1,,,,
Turning machines,2B201c,,,,
Turning machines (CNC),2B001a,,,,
"TV cameras (radiation-hardened), or lenses therefor",6A203d,,,,
"TV cameras, radiation-hardened, not specified in 6A203",6A999b,,,,
Two dimensional focal plane arrays,6A002a3,,,,
TWTs (Traveling Wave Tubes),3A001b1a,,,,
UAVs (non-military),9A012a,,,,
UAV (military) production facilities,9B610c,,,,
Ultrasonic test equipment for nuclear reactors,2A291d,,,,
"Underwater breathing apparatus, self-contained",8A992h,,,,
"Underwater cameras, photographic",8A002d,8A002e,8A002f,,
"Underwater camera equipment, n.e.s.",8A992d,,,,
Underwater communications system,5A001b1,,,,
Underwater ElectroMagnetic Receivers (UEMR),6A006e,,,,
Underwater ElectroMagnetic Receivers (UEMR) software,6D003f3,6D003f4,,,
Underwater electric field sensors,6A006b,,,,
Underwater lights,8A992j,,,,
Underwater noise reduction technology,8.00E+02,,,,
Underwater (propeller) noise reduction software,8D002,,,,
Underwater propulsion equipment,8A992j,,,,
Underwater rebreathing apparatus,8A620f,,,,
"Underwater robots, computer controlled",8A002h,,,,
Underwater sonar navigation systems,7A008,,,,
"Underwater systems or equipment and parts, not controlled by 8A002",8A992,,,,
Underwater television cameras,8A992a2,,,,
"Underwater vehicles, industrial",8A001,,,,
Underwater velocity measurement equipment,6A001b,,,,
"Underwater vessel positioning systems, acoustic",6A001a1d,,,,
Underwater vision systems,8A002d,,,,
Underwater vision systems,8A992a,,,,
"Unmanned aerial vehicles, not specified in 9A102",9A120,9A610,,,
"Unmanned aerial vehicles and associated systems, production equipment",9A010,9A610,,,
"Unmanned aerial vehicles, associated equipment, systems, and components",9A012b,9A610,,,
Unmanned air vehicle systems (UAVs) Non-military,9A012a,,,,
Unmanned submersible vehicle operation software,8D999,,,,
Unmanned tethered submersible vehicles,8A001c,,,,
Unmanned untethered submersible vehicles,8A001d,,,,
"Uranium, depleted",1A290,,,,
Uranium titanium alloys,1C004,,,,
Urine collection bags/pads/cups/pumps for military aircraft,9A610y21,,,,
Vaccines and immunotoxins,1C991,,,,
Vacuum furnaces,2B226,,,,
Vacuum furnaces,2B227,,,,
Vacuum induction furnaces,2B226,,,,
"Vacuum induction furnace, power supplies",2B226,,,,
"Vacuum melting, remelt & casting furnaces",2B227,,,,
Vacuum microelectronic device development/production technology,3E003a,,,,
Vacuum pumps,2B231,,,,
Vacuum pumps,2B350i,,,,
"Vacuum pumps, bellows-sealed scroll-type",2B233,,,,
"Vacuum tubes, electronic microwave",3A001b1,,,,
Vacuum sprytron tubes,3A228a,,,,
"Vacuum valves, piping, flanges, gaskets",2B999k,,,,
"Valve seats, made from fluoroelastomers",1A001c,,,,
"Valves, austenitic stainless steel",2B999n,,,,
"Valves, bellows seal",2A226,,,,
"Valves, bellows",2B350g,,,,
Valves (check) for hydraulic and pneumatic systems in military aircraft,9A610y4,,,,
"Valves, double-seal",2B350g,,,,
"Valves, of or lined with stainless steel, copper-nickel alloy or other alloy steel",2A292,,,,
"Valves, diaphragm",2B350g,,,,
"Valves, monel",2B999f,,,,
"Valves, multiple seal incorporating a leak detection port",2B350g,,,,
"Valves, non-return (check)",2B350g,,,,
"Valves, stainless steel",2B999g,,,,
"Valves, vacuum",2B999k,,,,
Variola virus,1C351a36,,,,
Vector processing unit technology,3.00E+02,,,,
Vector processors/assemblies,4A003,,,,
Vehicle position determination software,6D103,,,,
"Vehicles, “specially designed” for a military use",0A606a,,,,
"Vehicles, unarmed, off-road, and armored",0A606b1,,,,
Velocity interferometers (VISARs),6A225,,,,
"Velocity measurement equipment, underwater",6A001b,,,,
Venezuelan equine encephalitis virus,1C351a37,,,,
Ventilated full or half (protective clothing) suits,2B352f1,,,,
Ventilated propellers,8A002o1a,,,,
Verocytotoxin producing ,1C351c17,,,,
Verotoxin,1C351d17,,,,
Vesicular stomatitis virus,1C352a15,,,,
"Vessels, austenitic stainless steel",2B999n,,,,
"Vessel positioning systems, acoustic",6A001a1d,,,,
Vessel noise reduction equipment,8A002o3,,,,
"Vessels, marine",8A001,8A609,8A620,,
"Vessels, marine systems or equipment",8A992,,,,
"Vessels, monel",2B999f,,,,
"Vessels, stainless steel",2B999e,,,,
"Vests, bulletproof & bullet resistant",1A005,,,,
"Vibration test equipment, acoustic",9B006,,,,
"Vibration test equipment, parts and components",9B990,,,,
Vibration test equipment using digital control techniques,2B116,,,,
Vibrio cholerae,1C351c19,,,,
Video cameras incorporating solid state sensors,6A003b1,,,,
Vinylidene fluoride copolymers,1C009a,,,,
"Vinylidene fluoride copolymers, components of",1A001,,,,
"virulans, fungi (Colletotrichum kahawae)",1C354b1,,,,
Virus protection software,5D992,,,,
Viruses,1C351,1C352,1C353,,
"Viruses, animal pathogens",1C352a,,,,
"Viruses, human pathogens",1C351a,,,,
"Viruses, plant pathogens",1C354c,,,,
"Viscous software, 2D or 3D engine flow modeling",9D004a,,,,
Viscum Album Lectin 1 (Viscumin),1C351d18,,,,
"Vision systems, underwater",8A992a,,,,
"Vision systems, underwater",8A002d,,,,
Voice print identification and analysis equipment and parts,3A980,,,,
Volkensin toxin,1C351d19,,,,
"Wafer handling systems, semiconductor",3B001e,,,,
"Wafer processing, semiconductor manufacture",3B001e,,,,
Wafer probing equipment,3B992b3,,,,
Wafer production align and expose equipment,3B991b2f,,,,
"Wafers, semiconductor with function determined",3A001a,,,,
"Wafers, comprising multiple epitaxially grown layers",3C001,,,,
Wall skin friction transducers,9B008,,,,
"War implement machinery, equipment, gear, and specially designed parts and accessories therefo",2B018,,,,
Water (deep) fording kits for ground vehicles,0A606e,,,,
Water jet cutting machines (CNC),2B001e1a,,,,
Water jet (pumpjet) propulsion systems,8A002p,,,,
Water tanks (potable) and accessories for military aircraft,9A610y17,,,,
Water tanks (potable) and accessories for submersible vessels,8A620y7,,,,
Water tanks (potable) and accessories for surface vessels of war,8A609y7,,,,
"Water tunnels, propulsion model acoustic field measurement",8B001,,,,
Water-hydrogen sulphide exchange tray columns,1B229,,,,
Water-screw propellers,8A002o1,,,,
Wave division multiplex equipment,5A991b5,,,,
Waveform digitizers (Transient recorders),3A002a5,,,,
"Wax pattern preparation equipment, ceramic shell",9B991e,,,,
Weaving machines,1B001c,,,,
Weight belts,8A992i,,,,
"Welders, MIG",2B999d,,,,
"Welders, E-beam",2B999e,,,,
"Welding machines, laser",2B999c,,,,
Western equine encephalitis virus,1C351a38,,,,
"Western red cedar, logs and timber",1C988,,,,
Wet-spinning equipment for refractory ceramics,1B101c3,,,,
Wet-spinning equipment for refractory ceramics,1B001d3,,,,
Wetsuits,8A992i,,,,
Wide-swath bathymetric survey systems,6A001a1,,,,
Wigglers (free electron laser magnet) manufacturing or inspection equipment,6B995a1,,,,
Wind tunnel aero-model technology,9E003b1,,,,
"Wind tunnel, control systems",9B005,,,,
"Wind tunnels, usable for missiles",9B105,,,,
"Winding machines, fiber optic gyro coil",7B003,,,,
"Windows, glass for nuclear radiation shielding",1A227,,,,
"Windows (ground vehicle), except those for amored vehicles",0A606y16,,,,
Windshield water and wiper systems for military aircraft,9A610y22,,,,
Wing folding system software,0D521 No 3,,,,
Wing folding system technology,0E521 No 2,,,,
"Work stations, as computers having a CTP above 260 Mtops",4A003b,,,,
X-ray converters,1A999b,,,,
X-ray equipment for projection image transfer,3B991b2g,,,,
"X-ray generators, radiographic",3A201c,,,,
"X-ray machines, flash",3A999c,,,,
"X-ray (non planar) inspection equipment, rocket motors",9B007,,,,
Xanthomonas albilineans,1C354a1,,,,
"Xanthomonas axonopodis pv. citri (Xanthomonas campestris pv, citri A) (Xanthomonas campestris pv. citri)",1C354a2,,,,
Xanthomonas oryzae,1C354a3,,,,
Xanthomonas oryzae pv. oryzae (syn. Pseudomonas campestris pv. oryzae),1C354a3,,,,
Yellow fever virus,1C351a39,,,,
Yersinia pestis,1C351c20,,,,
"Yttrium oxide (yttria) (Y2O3), crucibles made or coated",2A225a8,,,,
Zinc germanium biphosphide,6C004b4,,,,
Zinc germanium diphosphide,6C004b4,,,,
Zinc germanium phosphide,6C004b4,,,,
"Zinc selenide (ZnSe), substrate blanks",6C004a,,,,
"Zinc sulphide (ZnS), substrate blanks",6C004a,,,,
Zirconium fluoride (ZrF4) glass,6C004e,,,,
Zirconium metal particulate,1C111a2a1,,,,
"Zirconium metal, alloy, compounds, or manufacturers",1C234,,,,
Zirconium oxide (zirconia) (ZrO2) made/coated crucibles,2A225a9,,,,
Zoonotic pathogens and “toxins”,1C351,,,,
